NAME,ID,AGE,POS,PPG,APG,RPG,STL,BLK,LINK
Jaylen Brown,brownja02,28,SF,22.2,4.5,5.8,1.2,0.3,https://www.basketball-reference.com/players/b/brownja02.html
Derrick White,whitede01,30,SG,16.4,4.8,4.5,0.9,1.1,https://www.basketball-reference.com/players/w/whitede01.html
Jrue Holiday,holidjr01,34,PG,11.1,3.9,4.3,1.1,0.4,https://www.basketball-reference.com/players/h/holidjr01.html
Kristaps Porziņģis,porzikr01,29,C,19.5,2.1,6.8,0.7,1.5,https://www.basketball-reference.com/players/p/porzikr01.html
Payton Pritchard,pritcpa01,27,PG,14.3,3.5,3.8,0.9,0.2,https://www.basketball-reference.com/players/p/pritcpa01.html
Al Horford,horfoal01,38,C,9.0,2.1,6.2,0.6,0.9,https://www.basketball-reference.com/players/h/horfoal01.html
Sam Hauser,hausesa01,27,PF,8.5,0.9,3.2,0.6,0.2,https://www.basketball-reference.com/players/h/hausesa01.html
Luke Kornet,kornelu01,29,C,6.0,1.6,5.3,0.5,1.0,https://www.basketball-reference.com/players/k/kornelu01.html
Neemias Queta,quetane01,25,C,5.0,0.7,3.8,0.3,0.7,https://www.basketball-reference.com/players/q/quetane01.html
Baylor Scheierman,scheiba01,24,SG,3.6,1.1,2.1,0.5,0.1,https://www.basketball-reference.com/players/s/scheiba01.html
Torrey Craig,craigto01,34,SF,2.7,0.7,2.8,0.4,0.6,https://www.basketball-reference.com/players/c/craigto01.html
Miles Norris,norrimi01,24,PF,2.3,0.0,3.0,0.7,0.3,https://www.basketball-reference.com/players/n/norrimi01.html
Jordan Walsh,walshjo01,20,PF,1.6,0.4,1.3,0.2,0.2,https://www.basketball-reference.com/players/w/walshjo01.html
Drew Peterson,peterdr01,25,PF,2.2,0.5,1.6,0.2,0.1,https://www.basketball-reference.com/players/p/peterdr01.html
Xavier Tillman Sr.,tillmxa01,26,C,1.0,0.2,1.3,0.3,0.2,https://www.basketball-reference.com/players/t/tillmxa01.html
JD Davison,davisjd01,22,PG,2.1,0.8,0.8,0.3,0.1,https://www.basketball-reference.com/players/d/davisjd01.html
